topic,tweetid,text
benghazi,7.05E+17,"""Donald Trump PRAISES Hillary Clinton, dismisses BENGHAZI https://t.co/Jof7sCUwwy  @ChuckNellis @KrisParonto @13hours #NeverTrump #Benghazi """
benghazi,7.05E+17,"""Proof of the lies that #HillaryClinton keeps telling bout #Benghazi. But ""what difference does it make"", right?  https://t.co/p0tnr08b1J """
benghazi,7.05E+17,"""#Benghazi: US Rescue Team Was on The Way, But Was Called Back https://t.co/f5emXnb5xW _Ñ_ Sounds Like Treason  #tcot https://t.co/VBiaBhbIRT """
benghazi,7.05E+17,"""After all the proof against @HillaryClinton it is mind boggling people still trust her #benghazi #sheeple #SuperTuesday """
benghazi,7.05E+17,"""Those silly Americans..they sure don't protect their Ambassadors do they? #benghazi #hillaryClinton https://t.co/enYYzmCKID """
benghazi,7.05E+17,"""@wolfblitzer so @HillaryClinton talks about ""words"" in campaign? What about doing her job in protecting the lives in #Benghazi? People died! """
benghazi,7.05E+17,"""Hard to believe that #Dems vote for #HillaryClinton , a lying unethical person who used #Benghazi as a political tool, 4 died! #SuperTuesday """
benghazi,6.87E+17,"""HEY HILLARY  This Is What ""Leaves No Man Behind"" Looks Like  _ª_±_ª_ˆ_ªê‚WE WONT FORGET ""BENGHAZI""_ªê‚_ª_±_ª_ˆ  _Ò€#SOTU _Ò€#BENGHAZI https://t.co/1P8oRBlbHX """
benghazi,7.05E+17,"""For whoever supports @HillaryClinton .. I got one word for you #Benghazi  RIP to those who passed away in that event """
benghazi,7.05E+17,"""@hillaryclinton What's more troubling than anything is #Benghazi and you will never live down that failure in your resume, ever. """
benghazi,7.05E+17,"""@UtopiasTaint @WayneEdH @blaha_b She admitted she lied in the #Benghazi hearings.  the FBI's investigation (the Clinton Fund, e-mails)Cum on """
benghazi,7.05E+17,"""Amid voter distrust &amp; #Benghazi overhang, @HillaryClinton can't hold up in a general election  #BernieSanders  https://t.co/aiV48dwy0n """
benghazi,7.05E+17,"""#stophillary2016 @HillaryClinton knew what was happening in #Benghazi &amp; DID NOTHING. #GoDirectlyToJail  https://t.co/RyaqybR62D """
benghazi,7.05E+17,"""#trump would have NEVER allowed #Benghazi to happen. #Obama left it to @HillaryClinton who only cares about herself! https://t.co/g6L20lpeEd """
benghazi,7.05E+17,"""Hillary Clinton let Americans die #Benghazi """
benghazi,6.88E+17,"""'Serial liar': Families of #Benghazi victims blast #Clinton on Benghazi https://t.co/gH7EtxjWRL https://t.co/VotjKkpQib """
border security,7.05E+17,"""DONALD TRUMP TOLD NYTIMES HE WON'T BUILD A BORDER WALL - RELEASE THE AUDIO PROOF #Veterans #military #ccot #Prolife https://t.co/k7clkwlvVk """
bordersecurity,7.05E+17,"""Now or never: #Trump's WALL sparks #migrant rush on Southern border https://t.co/4e1amlYzOJ Invites Obama to show Dems ""do"" #BorderSecurity. """
bordersecurity,7.05E+17,"""#Trump supporters beware FRAUD on #Bordersecurity https://t.co/k8S2fTZtTS #choosecruz #NeverTrump """
clinton emails,7.05E+17,"""@CNN is still complaining that @BernieSanders refused to attack @HillaryClinton on #clinton emails   Move on already! It's #SuperTuesday """
clinton emails,7.05E+17,"""Is Comey ensuring #Clinton isn't indicted? #clinton emails #SuperTuesday  https://t.co/10ZiAnuvm1 """
clinton emails,7.05E+17,"""@thehill In other words, I'm here to ensure Clinton isn't indicted. #clinton emails #SuperTuesday """
clinton emails,7.05E+17,""".@AllenWest on #clinton emails: the average #American would've been found #guilty of a #crime #HillaryClinton @DeirdreBolton @FoxBusiness """
clinton emails,6.95E+17,"""Before/after pics of @HillaryClinton post  #FBI interrogatories #clinton emails scandal #tcot @marklarsonradio https://t.co/N2G97w2pYD """
clinton emails,7.05E+17,"""#StateDept. to Withhold Two New #clinton emails - Frank J. Salvato https://t.co/1ePl6h1snO #Hillary Clinton #2016Election #Progressive """
clinton emails,7.05E+17,"""AND this exercise in propaganda was just as pointless as we thought. #clinton emails #politics #NowOnToTheIssues https://t.co/qhDhj1gwjz """
clinton emails,7.05E+17,"""Last of Clinton emails released.  #clinton emails #HillaryClinton  https://t.co/SH3gzTMSsX https://t.co/jY3Iu5DoXt """
clinton emails,7.05E+17,"""#Clinton isn't happy #OIG is biased against those who commit multiple felonies. #clinton emails #SuperTuesday  https://t.co/cQdPRIjh1S """
clinton emails,7.05E+17,"""Senior #Clinton aide maintained top secret clearance amid email probe, letters show. https://t.co/adFbpnnzFo  #clinton emails """
clinton emails,7.05E+17,"""Final batch of #clinton emails released by State Department (Update: _ÑÉIf not classified_Ñ__Ñé) - Hot Air https://t.co/ZgY5MTSLeh """
clinton emails,7.05E+17,"""ClichÕ© Witch  Lying Witch #Benghazi #HillaryEmail #clinton emails #roselawfirm #whitewater  cc @Canine_Rights  https://t.co/dsmVh1Bhss """
clinton emails,7.05E+17,"""https://t.co/Ua1zFzs79K  Maybe they'll hold it over till Feb 2017! Talk about 3rd World country politics _ª¥_#clinton emails """
clinton emails,7.05E+17,"""clinton mail: if so much information was whited out by state dep, it means it is sensitive info https://t.co/DNAG5mCGZR #clinton emails """
