,hashtag,count,candidate,sentiment
436,votetrumpfl,8124,trump,pos
439,microsoftrubiofraud,8036,rubio,neg
445,berniesanders2016,7971,sanders,pos
453,trumpsupporters,7830,trump,
454,fightforhillary,7799,hillary,pos
461,unidosconbernie,7701,bern,
467,allinforjeb,7633,jeb,pos
480,kasich4us,7379,kasich,pos
507,women4bernie,6974,bern,pos
514,trumpwin,6858,trump,pos
534,stophillary,6485,hillary,neg
543,hillaryemail,6281,hillary,
548,berniesandersforsc,6234,sanders,pos
549,dropoutmarco,6187,marco,neg
564,anyonebuttrump,5987,trump,
569,tedcruzlies,5787,cruz,
585,trumplies,5608,trump,
600,robotrubio,5492,rubio,
611,creepycruz,5394,cruz,neg
613,cruzintocaucus,5387,cruz,
622,votetrumpmi,5345,trump,pos
630,bernieindenver,5265,bern,
650,trumpertuesday,5003,trump,
652,hillarystrong,4988,hillary,
656,voteforbernie,4912,bern,pos
660,nevadafortrump,4857,trump,pos
665,rubiorobots,4820,rubio,
673,trumpteam,4745,trump,pos
674,notrump,4732,trump,neg
675,trumpisright,4728,trump,
681,trumpforpresident,4707,trump,pos
682,gobernie,4707,bern,
683,trumpified,4704,trump,
686,millennialsforbernie,4685,bern,pos
691,therealdonaldtrump,4658,trump,
694,againsttrump,4637,trump,
703,trumpmovement,4559,trump,
706,melaniatrump,4542,trump,
715,trumparmy,4438,trump,
716,bern4million,4435,bern,pos
717,hillary4prison,4435,hillary,neg
718,texasfortrump,4432,trump,pos
719,cruzlies,4430,cruz,
720,bernedout,4414,bern,
728,ifihadtrumpsmoney,4331,trump,
729,whichbernie,4324,bern,
731,berniesandersforpresident2016,4317,sanders,pos
733,berniewasthere,4296,bern,
736,dontgetberned,4272,bern,
741,clintons,4200,clinton,
758,alwayscruz,4094,cruz,
764,bernieinne,4052,bern,
781,norubio,3964,rubio,
797,jebsnextmove,3891,jeb,
808,votetrumpnc,3849,trump,pos
812,hilaryclinton,3822,clinton,
814,fiorina,3818,fiorina,
815,latinosforhillary,3801,hillary,pos
836,studentsforhillary,3672,hillary,pos
847,cruzisasnakebecause,3612,cruz,
849,trumpnation,3606,trump,
852,womenforbernie,3586,bern,pos
855,hillarylies,3581,hillary,
856,cruzforpresident,3577,cruz,pos
864,trumpfollowtrain,3515,trump,pos
867,stump4trumpbaby,3506,trump,pos
871,blocktrumptrain,3483,trump,neg
